Kanji,Hiragana,English,Origin,Difficulty ,New
?,??,Night,Genki 1.6,,
???,??????,Textbook,Genki 1.6,,
??,???,Money,Genki 1.6,,
??,???,Luggage ,Genki 1.6,,
?,??,Window,Genki 1.6,,
??,????,Train,Genki 1.6,,
??,???,Electricity,Genki 1.6,,
?,??,Origin,Genki 1.6,,
??,????,This week,Genki 1.6,,
??,????,Next month,Genki 1.6,,
??,????,Next year,Genki 1.6,,
??,????,"Very, greatly, terribly, awfully",Genki 1.6,,
??,???,To play,Genki 1.6,,
??,???,To hurry,Genki 1.6,,
??,???,To return,Genki 1.6,,
??,???,To sit,Genki 1.6,,
??,??,To stand,Genki 1.6,,
??????,??????,To smoke,Genki 1.6,,
??,???,To use,Genki 1.6,,
???,????,To help,Genki 1.6,,
??,???,To enter,Genki 1.6,,
??,??,To carry,Genki 1.6,,
??,???,"To be absent, to rest",Genki 1.6,,
???,???,To open,Genki 1.6,,
???,???,To close,Genki 1.6,,
???,????,"To instruct, teach",Genki 1.6,,
???,???,To get off,Genki 1.6,,
???,???,To borrow,Genki 1.6,,
????????,????????,To shower,Genki 1.6,,
????,?????,To call,Genki 1.6,,
?????,?????,To bring (a person),Genki 1.6,,
?????,?????,To bring (a thing),Genki 1.6,,
??,???,"Later, afterwards",Genki 1.6,,
????,??????,"Sufficient, wonderful, ""I'm fine"", ""No thanks""",Genki 1.6,,
?????,???????,Really?,Genki 1.6,,
??,???,Family,Genki 1.7,,
?,??,My father,Genki 1.7,,
?,??,My mother,Genki 1.7,,
?,??,My older brother,Genki 1.7,,
????,?????,Older brother,Genki 1.7,,
?,??,My older sister,Genki 1.7,,
????,?????,Older sister,Genki 1.7,,
?,????,My younger brother,Genki 1.7,,
?,????,My younger sister,Genki 1.7,,
??,?????,Siblings,Genki 1.7,,
???,??????,Man,Genki 1.7,,
???,??????,Woman,Genki 1.7,,
??,????,"Office, company",Genki 1.7,,
??,?????,Cafeteria ,Genki 1.7,,
?,??,Hair,Genki 1.7,,
?,?,Eye,Genki 1.7,,
?,??,Mouth,Genki 1.7,,
??,???,Nothing in particular,Genki 1.7,,
??,???,Eyeglasses ,Genki 1.7,,
?,???,Car,Genki 1.7,,
?,??,Song,Genki 1.7,,
??,???,Long (length),Genki 1.7,,
??,????,Short (length),Genki 1.7,,
??,???,Fast,Genki 1.7,,
????,?????,Tall (stature),Genki 1.7,,
????,?????,Short (stature),Genki 1.7,,
????,??????,"Clever, bright",Genki 1.7,,
??,????,"Kind, gentle, considerate",Genki 1.7,,
??,???,Convenient,Genki 1.7,,
??,???,To sing,Genki 1.7,,
??,???,To put on (head),Genki 1.7,,
??,??,To put on (lower body),Genki 1.7,,
??,??,To get to know,Genki 1.7,,
??,??,To live,Genki 1.7,,
??,????,To work,Genki 1.7,,
??,???,To gain weight,Genki 1.7,,
??,??,To put on (upper body),Genki 1.7,,
????,??????,To get married,Genki 1.7,,
?,???,I,Duolingo 1,,
?,?,"Title, prefix",Duolingo 1,,
??,???,Name,Duolingo 1,,
??,?????,From (country),Duolingo 1,,
??,??,Call (named),Duolingo 1,,
?,?,Spirit,Duolingo 1,,
??,????,Teacher,Duolingo 1,,
??,????,Student,Duolingo 1,,
??,???,Honda (name),Duolingo 1,,
??,???,Tanaka (name),Duolingo 1,,
??,????,Nakamura (name),Duolingo 1,,
?,???,Shigeru (name),Duolingo 1,,
?,???,Sakura (name),Duolingo 1,,
??,?????,China,Duolingo 1,,
??,???,Japan,Duolingo 1,,
?,?,Language,Duolingo 1,,
??,???,English,Duolingo 1,,
?,??,Bird,Duolingo 1,,
?,??,What,Duolingo 1,,
?,???,Egg,Duolingo 2.1,,
?,??,Minute,Duolingo 2.1,,
?,??,Now,Duolingo 2.1,,
?,??,Half,Duolingo 2.1,,
??,???,A.M.,Duolingo 2.1,,
??,??,P.M.,Duolingo 2.1,,
??,???,Midnight,Duolingo 2.1,,
?,??,Month (moon),Duolingo 2.1,,
